full_name,date_of_birth,place_of_birth,gender,party
Шарапаев Петр Анатольевич,14.04.1971,Северо-Казахстанская область,м,Нур Отан
Шиповских Геннадий Геннадиевич,22.10.1989,Кызылординская область,м,Нур Отан
Шишигина Ольга Васильевна,23.12.1968,Алма-Ата,ж,Нур Отан
Щегельский Глеб Анатольевич,19.04.1969,Акмолинская область,м,Нур Отан
Измухамбетов Бактыкожа Салахатдинович,01.09.1948,Атырауская область,м,Нур Отан
Яковлева Татьяна Ивановна,17.03.1958,Воронежская область(РФ),ж,Нур Отан
Перуашев Азат Турлыбекулы,08.09.1967,Жамбылская область,м,Ак жол
Абсатиров Кенес Гарапович,20.05.1959,Западно-Казахстанская область,м,Ак жол
Барлыбаев Ерлан Хайланович,15.08.1967,Восточно-Казахстанская область,м,Ак жол
Дюсембинов Берик Салимжанович,19.06.1971,Восточно-Казахстанская область,м,Ак жол
Еспаева Дания Мадиевна,05.03.1961,Актюбинская область,ж,Ак жол
Казбекова Меруерт Айткажиевна,30.08.1961,Акмолинская область,ж,Ак жол
Никитинская Екатерина Сергеевна,05.10.1955,Алма-Ата,ж,Ак жол
Косарев Владислав Борисович,16.11.1937,Акмолинская область,м,КНПК 
Жамбыл Аужанович Ахметбеков,11.02.1971,Акмолинская область,м,КНПК 
Баймаханова Галина Александровна,17.04.1952,Алма-Ата,ж,КНПК 
Конуров Айкын Ойратович,28.11.1972,Акмолинская область,м,КНПК 
Магеррамов Магеррам Мамедович,07.12.1971,Алматинская область,м,КНПК 
Смирнова Ирина Владимировна,21.07.1960,Киргизия ,ж,КНПК 
Сыздыков Тургун Искакович,02.08.1947,Акмолинская область,м,КНПК 
